,key_index,stat,admin_name,admin_level,pop_group
1,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ NA ~/~ NA,30,overall,admin0,Nationwide
2,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_speak_to_anyone_in_our_community @/@ NA ~/~ NA,22,overall,admin0,Nationwide
3,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_listen_to_local_leaders_head_men @/@ NA ~/~ NA,22,overall,admin0,Nationwide
4,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_speak_to_local_leaders_head_men @/@ NA ~/~ NA,15,overall,admin0,Nationwide
5,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ when_we_give_them_feedback_or_make_complaints_nothing_changes @/@ NA ~/~ NA,26,overall,admin0,Nationwide
6,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_provide_enough_information_about_registration_eligibility_or_distributions @/@ NA ~/~ NA,19,overall,admin0,Nationwide
7,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ show_lack_of_respect_for_local_cultures @/@ NA ~/~ NA,1,overall,admin0,Nationwide
8,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ are_disrespectful_in_their_interactions_with_individual_members_of_our_community @/@ NA ~/~ NA,4,overall,admin0,Nationwide
9,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ asked_for_favors_in_exchange_for_the_aid_service @/@ NA ~/~ NA,0,overall,admin0,Nationwide
10,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ other @/@ NA ~/~ NA,2,overall,admin0,Nationwide
11,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ dont_know @/@ NA ~/~ NA,2,overall,admin0,Nationwide
12,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ prefer_not_to_answer @/@ NA ~/~ NA,2,overall,admin0,Nationwide
13,mean @/@ i_fcs ~/~ NA @/@ NA ~/~ NA,59.86450036,overall,admin0,Nationwide
14,prop_select_one @/@ i_fcs_category ~/~ Acceptable @/@ NA ~/~ NA,78,overall,admin0,Nationwide
15,prop_select_one @/@ i_fcs_category ~/~ Borderline @/@ NA ~/~ NA,15,overall,admin0,Nationwide
16,prop_select_one @/@ i_fcs_category ~/~ Poor @/@ NA ~/~ NA,7,overall,admin0,Nationwide
17,mean @/@ i_rcsi ~/~ NA @/@ NA ~/~ NA,11.6891677,overall,admin0,Nationwide
18,prop_select_one @/@ i_rcsi_cat ~/~ High @/@ NA ~/~ NA,23,overall,admin0,Nationwide
19,prop_select_one @/@ i_rcsi_cat ~/~ Low @/@ NA ~/~ NA,33,overall,admin0,Nationwide
20,prop_select_one @/@ i_rcsi_cat ~/~ Medium @/@ NA ~/~ NA,44,overall,admin0,Nationwide
21,mean @/@ hhs_score ~/~ NA @/@ NA ~/~ NA,0.333747559,overall,admin0,Nationwide
22,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ pop_group ~/~ Lebanese,28,overall,admin0,Lebanese
23,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ pop_group ~/~ migrant,46,overall,admin0,Migrant
24,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ pop_group ~/~ prl,37,overall,admin0,Palestine Refugees from Lebanon
25,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_speak_to_anyone_in_our_community @/@ pop_group ~/~ Lebanese,21,overall,admin0,Lebanese
26,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_speak_to_anyone_in_our_community @/@ pop_group ~/~ migrant,31,overall,admin0,Migrant
27,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_speak_to_anyone_in_our_community @/@ pop_group ~/~ prl,24,overall,admin0,Palestine Refugees from Lebanon
28,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_listen_to_local_leaders_head_men @/@ pop_group ~/~ Lebanese,24,overall,admin0,Lebanese
29,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_listen_to_local_leaders_head_men @/@ pop_group ~/~ migrant,6,overall,admin0,Migrant
30,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_listen_to_local_leaders_head_men @/@ pop_group ~/~ prl,20,overall,admin0,Palestine Refugees from Lebanon
31,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_speak_to_local_leaders_head_men @/@ pop_group ~/~ Lebanese,17,overall,admin0,Lebanese
32,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_speak_to_local_leaders_head_men @/@ pop_group ~/~ migrant,2,overall,admin0,Migrant
33,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_speak_to_local_leaders_head_men @/@ pop_group ~/~ prl,12,overall,admin0,Palestine Refugees from Lebanon
34,prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ when_we_give_them_feedback_or_make_complaints_nothing_changes @/@ pop_group ~/~ Lebanese,29,overall,admin0,Lebanese
